City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
59,Codrington,AU,2021-08-05 20:59:23,-38.2667,141.9667,51.31,81,100,11.34,overcast clouds
60,Benguela,AO,2021-08-05 20:59:23,-12.5763,13.4055,71.08,88,22,1.07,few clouds
61,Port Lincoln,AU,2021-08-05 20:59:24,-34.7333,135.8667,54.88,73,100,7.23,overcast clouds
62,Tromso,NO,2021-08-05 20:59:24,69.6496,18.957,53.62,87,75,4.61,broken clouds
63,Laranja Da Terra,BR,2021-08-05 20:59:24,-19.8989,-41.0567,57.51,88,67,3.94,broken clouds
64,Shelburne,CA,2021-08-05 20:59:25,44.0787,-80.2041,84.85,35,2,7.36,clear sky
65,Faanui,PF,2021-08-05 20:59:25,-16.4833,-151.75,79.16,70,33,10.2,scattered clouds
66,Coari,BR,2021-08-05 20:59:26,-4.085,-63.1414,88.41,49,78,2.1,broken clouds
67,Orai,IN,2021-08-05 20:59:26,25.9833,79.4667,80.6,88,100,4.41,overcast clouds
68,Lyudinovo,RU,2021-08-05 20:59:26,53.8664,34.4478,60.24,97,100,4.63,overcast clouds
69,Rupert,US,2021-08-05 20:59:27,42.6191,-113.6772,93.15,24,1,5.75,clear sky
70,Bama,NG,2021-08-05 20:59:27,11.5221,13.6856,77.31,77,60,10.22,light rain
71,Pevek,RU,2021-08-05 20:59:27,69.7008,170.3133,38.07,96,100,3.94,overcast clouds
72,New Norfolk,AU,2021-08-05 20:59:27,-42.7826,147.0587,53.71,63,100,11.01,light rain
73,La Trinitaria,MX,2021-08-05 20:59:28,16.1167,-92.05,74.89,58,33,2.68,scattered clouds
74,Asau,RO,2021-08-05 20:59:28,46.4333,26.4,65.39,68,98,3.24,light rain
75,Iqaluit,CA,2021-08-05 20:59:28,63.7506,-68.5145,44.33,81,90,5.01,shower rain
76,Beringovskiy,RU,2021-08-05 20:59:29,63.05,179.3167,48.4,88,100,4.92,overcast clouds
77,Atuona,PF,2021-08-05 20:59:29,-9.8,-139.0333,78.03,74,29,15.73,scattered clouds
78,Wamba,NG,2021-08-05 20:59:30,8.9333,8.6,71.2,94,77,4.03,broken clouds
79,Thompson,CA,2021-08-05 20:54:46,55.7435,-97.8558,64.56,42,75,10.36,smoke
80,Freeport,US,2021-08-05 20:59:30,40.6576,-73.5832,83.26,69,84,4.0,broken clouds
81,Podares,MK,2021-08-05 20:59:31,41.6139,22.5422,80.13,37,98,2.62,overcast clouds
82,Inta,RU,2021-08-05 20:59:31,66.0317,60.1659,57.9,97,100,19.82,overcast clouds
83,Albany,US,2021-08-05 20:59:31,42.6001,-73.9662,81.03,62,71,1.88,broken clouds
84,Esperance,AU,2021-08-05 20:59:31,-33.8667,121.9,49.84,79,0,10.85,clear sky
85,Jieshi,CN,2021-08-05 20:59:32,22.8134,115.8257,81.95,92,100,19.6,light rain
86,Vila Velha,BR,2021-08-05 20:59:32,-20.3297,-40.2925,71.55,78,75,5.75,broken clouds
87,Te Anau,NZ,2021-08-05 20:59:33,-45.4167,167.7167,37.38,95,76,1.16,broken clouds
88,Vaini,TO,2021-08-05 20:59:33,-21.2,-175.2,69.96,88,75,1.14,broken clouds
89,Waw,SS,2021-08-05 20:59:34,7.7029,27.9953,74.61,80,28,3.2,scattered clouds
90,Torbay,CA,2021-08-05 20:59:34,47.6666,-52.7314,75.97,40,75,14.97,broken clouds
91,Jamestown,US,2021-08-05 20:59:34,42.097,-79.2353,78.85,63,22,3.47,few clouds
92,Saint-Philippe,RE,2021-08-05 20:59:35,-21.3585,55.7679,65.75,80,49,13.94,light rain
93,Pangnirtung,CA,2021-08-05 20:59:36,66.1451,-65.7125,48.2,66,75,6.91,broken clouds
94,Pozoblanco,ES,2021-08-05 20:59:37,38.3791,-4.8483,79.38,19,0,4.27,clear sky
95,Mahebourg,MU,2021-08-05 20:59:37,-20.4081,57.7,70.09,64,75,9.22,broken clouds
96,Berlevag,NO,2021-08-05 20:59:38,70.8578,29.0864,53.4,87,75,4.61,broken clouds
97,Pedasi,PA,2021-08-05 20:59:38,7.5333,-80.0333,82.56,73,61,4.23,broken clouds
98,Khirkiya,IN,2021-08-05 20:59:38,22.1674,76.8605,75.43,89,100,8.23,overcast clouds
99,Airai,TL,2021-08-05 20:59:39,-8.9266,125.4092,54.37,63,81,4.12,broken clouds
100,Hilo,US,2021-08-05 20:59:39,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
101,Saldanha,ZA,2021-08-05 20:59:39,-33.0117,17.9442,55.45,86,0,3.51,clear sky
102,Tateyama,JP,2021-08-05 20:59:40,34.9833,139.8667,80.62,83,33,9.06,scattered clouds
103,Lagoa,PT,2021-08-05 20:59:40,39.05,-27.9833,73.06,90,0,18.84,clear sky
104,Yellowknife,CA,2021-08-05 20:59:41,62.456,-114.3525,64.29,63,75,0.0,broken clouds
105,Beian,NO,2021-08-05 20:59:41,63.6559,9.5683,59.0,88,0,8.05,clear sky
106,Rosetta,EG,2021-08-05 20:59:41,31.4044,30.4164,84.02,76,0,4.38,clear sky
107,Aranda De Duero,ES,2021-08-05 20:59:42,41.6704,-3.6892,72.25,41,5,9.6,clear sky
108,Butaritari,KI,2021-08-05 20:59:42,3.0707,172.7902,84.07,61,12,12.82,few clouds
109,Barrow,US,2021-08-05 20:57:20,71.2906,-156.7887,39.22,83,90,19.57,overcast clouds
110,Bocas Del Toro,PA,2021-08-05 20:58:17,9.3333,-82.25,91.08,72,73,6.13,broken clouds
111,Busselton,AU,2021-08-05 20:59:43,-33.65,115.3333,50.81,81,0,5.82,clear sky
112,Gurlan,UZ,2021-08-05 20:59:43,41.8447,60.3919,80.51,22,29,10.74,scattered clouds
113,Mount Isa,AU,2021-08-05 20:59:43,-20.7333,139.5,46.17,53,25,5.75,scattered clouds
114,Dodge City,US,2021-08-05 20:59:44,37.7528,-100.0171,91.26,44,0,7.0,clear sky
115,Almaty,KZ,2021-08-05 20:59:44,43.25,76.95,66.11,45,20,4.47,few clouds
116,Asadabad,IR,2021-08-05 20:59:44,34.7824,48.1185,76.14,23,82,7.83,broken clouds
117,Xinzhi,CN,2021-08-05 20:59:45,36.4989,111.7047,75.49,62,59,1.7,broken clouds
118,Vilcun,CL,2021-08-05 20:59:45,-38.65,-72.2333,54.34,75,94,5.99,overcast clouds
119,Pozo Colorado,PY,2021-08-05 20:59:45,-23.4923,-58.7972,78.22,25,100,5.93,overcast clouds
120,Ballina,AU,2021-08-05 20:55:47,-28.8667,153.5667,46.78,87,45,5.75,scattered clouds
121,Acapulco,MX,2021-08-05 20:56:08,16.8634,-99.8901,86.04,66,90,6.67,overcast clouds
122,Gomel,BY,2021-08-05 20:59:46,52.4345,30.9754,67.98,88,0,6.71,clear sky
123,Hithadhoo,MV,2021-08-05 20:59:46,-0.6,73.0833,80.71,77,99,7.52,moderate rain
124,Bathsheba,BB,2021-08-05 20:59:46,13.2167,-59.5167,84.81,70,75,12.66,broken clouds
125,Issoudun,FR,2021-08-05 20:59:47,47.0,1.8333,64.31,88,75,12.66,broken clouds
126,Tambovka,RU,2021-08-05 20:59:47,50.0969,128.0489,60.91,98,23,8.61,few clouds
127,Maniitsoq,GL,2021-08-05 20:59:48,65.4167,-52.9,43.92,97,100,26.78,moderate rain
128,Oranjemund,NA,2021-08-05 20:59:48,-28.55,16.4333,55.27,78,3,2.59,clear sky
129,Maceio,BR,2021-08-05 20:58:39,-9.6658,-35.7353,74.64,83,40,5.75,scattered clouds
130,Sistranda,NO,2021-08-05 20:54:54,63.7256,8.834,58.89,78,100,8.1,overcast clouds
131,Acari,PE,2021-08-05 20:56:47,-15.4311,-74.6158,72.12,61,15,5.59,few clouds
132,Tasiilaq,GL,2021-08-05 20:59:49,65.6145,-37.6368,41.65,75,23,2.33,few clouds
133,Vardo,NO,2021-08-05 20:59:50,70.3705,31.1107,53.35,85,64,4.0,broken clouds
134,Arraial Do Cabo,BR,2021-08-05 20:59:50,-22.9661,-42.0278,71.56,78,40,6.91,scattered clouds
135,Kungurtug,RU,2021-08-05 20:59:50,50.5994,97.5228,50.67,95,95,0.72,overcast clouds
136,Chokurdakh,RU,2021-08-05 20:59:51,70.6333,147.9167,37.27,85,100,9.82,overcast clouds
137,Avarua,CK,2021-08-05 20:59:51,-21.2078,-159.775,77.05,65,49,6.91,scattered clouds
138,Bloomingdale,US,2021-08-05 20:59:51,27.8936,-82.2404,86.29,81,40,9.22,scattered clouds
139,Mount Gambier,AU,2021-08-05 20:59:52,-37.8333,140.7667,48.11,93,75,10.36,broken clouds
140,Fortuna,US,2021-08-05 20:59:52,40.5982,-124.1573,81.19,68,75,1.01,broken clouds
141,Brora,GB,2021-08-05 20:59:53,58.0099,-3.8518,62.85,85,100,17.47,overcast clouds
142,Znamenskoye,RU,2021-08-05 20:59:53,57.1281,73.8282,60.39,84,92,3.56,overcast clouds
143,Kaitangata,NZ,2021-08-05 20:59:53,-46.2817,169.8464,44.92,86,65,4.94,broken clouds
144,Jinchang,CN,2021-08-05 20:59:54,38.4953,102.1739,73.62,26,99,6.08,overcast clouds
145,Tuktoyaktuk,CA,2021-08-05 20:59:55,69.4541,-133.0374,57.2,82,75,12.66,broken clouds
