City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Moron,AR,2021-08-04 15:20:28,-34.6534,-58.6198,63.01,75,39,1.99
68,Cidreira,BR,2021-08-04 15:20:28,-30.1811,-50.2056,62.01,82,99,4.94
69,Cabo San Lucas,MX,2021-08-04 15:16:33,22.8909,-109.9124,88.52,70,75,5.99
70,Qujing,CN,2021-08-04 15:20:29,25.4833,103.7833,62.38,86,9,2.13
71,Bambous Virieux,MU,2021-08-04 15:20:30,-20.3428,57.7575,70.05,73,75,17.27
72,Seoul,KR,2021-08-04 15:17:47,37.5683,126.9778,80.11,88,0,1.14
73,Kirakira,SB,2021-08-04 15:20:31,-10.4544,161.9205,73.99,81,14,4.68
74,Port Hardy,CA,2021-08-04 15:20:31,50.6996,-127.4199,62.78,94,75,0.0
75,Mecca,SA,2021-08-04 15:20:31,21.4267,39.8261,100.74,27,81,14.7
76,Hualmay,PE,2021-08-04 15:20:32,-11.0964,-77.6139,65.43,80,61,5.64
77,Jabinyanah,TN,2021-08-04 15:20:32,35.035,10.9081,98.4,40,0,13.29
78,Broome,US,2021-08-04 15:20:32,42.2506,-75.833,75.16,79,1,1.01
79,Hilo,US,2021-08-04 15:20:33,19.7297,-155.09,69.8,91,90,6.91
80,Qaanaaq,GL,2021-08-04 15:20:33,77.484,-69.3632,43.92,76,89,4.59
81,Luderitz,NA,2021-08-04 15:20:33,-26.6481,15.1594,59.68,78,3,3.58
82,Cockburn Town,TC,2021-08-04 15:20:34,21.4612,-71.1419,82.38,76,25,19.17
83,Puerto Ayora,EC,2021-08-04 15:20:34,-0.7393,-90.3518,75.16,77,28,11.81
84,Saint-Georges,GD,2021-08-04 15:20:21,12.0564,-61.7485,85.68,70,40,2.3
85,Gilgit,PK,2021-08-04 15:20:35,35.9221,74.3087,77.32,61,62,9.42
86,Punta Arenas,CL,2021-08-04 15:20:35,-53.15,-70.9167,48.31,61,0,13.8
87,Hasaki,JP,2021-08-04 15:20:36,35.7333,140.8333,75.49,89,0,3.83
88,Christchurch,NZ,2021-08-04 15:15:47,-43.5333,172.6333,48.0,80,100,7.0
89,Gamba,GA,2021-08-04 15:20:37,-2.65,10.0,79.25,70,98,9.8
90,Vicuna,CL,2021-08-04 15:20:37,-30.0319,-70.7081,51.53,9,0,4.25
91,Eresos,GR,2021-08-04 15:20:37,39.1667,25.9333,96.31,58,0,4.85
92,Yeppoon,AU,2021-08-04 15:20:38,-23.1333,150.7333,47.98,46,1,11.56
93,Mlonggo,ID,2021-08-04 15:20:38,-6.5333,110.7,78.46,86,8,7.36
94,Inhambane,MZ,2021-08-04 15:20:39,-23.865,35.3833,69.78,60,20,9.04
95,Pisco,PE,2021-08-04 15:20:39,-13.7,-76.2167,63.01,82,90,6.91
96,Nemuro,JP,2021-08-04 15:20:40,43.3236,145.575,66.99,98,99,6.08
97,Cayenne,GF,2021-08-04 15:20:40,4.9333,-52.3333,88.09,71,90,1.99
98,Avarua,CK,2021-08-04 15:20:41,-21.2078,-159.775,73.45,68,75,10.36
99,Zhigansk,RU,2021-08-04 15:20:41,66.7697,123.3711,62.46,50,16,8.32
100,Prabumulih,ID,2021-08-04 15:20:41,-3.45,104.25,78.58,75,92,2.44
101,Liverpool,GB,2021-08-04 15:17:23,53.4106,-2.9779,74.89,67,40,1.99
102,Tabou,CI,2021-08-04 15:20:42,4.423,-7.3528,79.29,78,91,11.43
103,Kushiro,JP,2021-08-04 15:20:42,42.975,144.3747,68.58,98,71,2.8
104,Bethel,US,2021-08-04 15:19:33,41.3712,-73.414,73.11,78,1,4.61
105,Bubaque,GW,2021-08-04 15:15:46,11.2833,-15.8333,79.47,79,100,6.22
106,Phalaborwa,ZA,2021-08-04 15:20:43,-23.943,31.1411,81.68,28,0,5.39
107,Beloha,MG,2021-08-04 15:20:43,-25.1667,45.05,66.72,72,0,15.28
108,Salalah,OM,2021-08-04 15:20:43,17.0151,54.0924,80.69,89,90,8.05
109,Pevek,RU,2021-08-04 15:20:44,69.7008,170.3133,38.28,94,100,4.27
110,Hermanus,ZA,2021-08-04 15:20:44,-34.4187,19.2345,64.9,83,31,9.8
111,Inuvik,CA,2021-08-04 15:20:44,68.3499,-133.7218,54.46,58,1,5.75
112,Port Alfred,ZA,2021-08-04 15:20:45,-33.5906,26.891,64.87,83,21,16.15
113,Palmares Do Sul,BR,2021-08-04 15:20:45,-30.2578,-50.5097,63.18,78,100,2.04
114,Khatanga,RU,2021-08-04 15:20:46,71.9667,102.5,68.94,43,99,15.26
115,Timra,SE,2021-08-04 15:20:46,62.487,17.3257,67.71,55,0,14.97
116,Solnechnyy,RU,2021-08-04 15:20:46,50.7214,136.6319,53.74,98,100,5.08
117,Beringovskiy,RU,2021-08-04 15:20:47,63.05,179.3167,46.98,99,100,14.65
118,Samarai,PG,2021-08-04 15:20:47,-10.6167,150.6667,77.77,84,53,12.68
119,Carnarvon,AU,2021-08-04 15:20:47,-24.8667,113.6333,51.87,38,0,9.22
120,Kapaa,US,2021-08-04 15:20:48,22.0752,-159.319,79.12,79,40,3.0
121,Voh,NC,2021-08-04 15:20:48,-20.9667,164.7,62.51,83,83,3.98
122,Olafsvik,IS,2021-08-04 15:20:48,64.8945,-23.7142,53.67,90,98,7.02
123,East London,ZA,2021-08-04 15:20:49,-33.0153,27.9116,65.34,82,0,9.22
124,Hithadhoo,MV,2021-08-04 15:19:26,-0.6,73.0833,81.99,77,100,8.63
125,Traverse City,US,2021-08-04 15:20:49,44.7631,-85.6206,77.83,64,90,9.22
126,Kindersley,CA,2021-08-04 15:17:26,51.4668,-109.1682,67.78,82,75,9.22
127,Ola,RU,2021-08-04 15:20:49,59.5833,151.2833,51.46,51,99,14.07
128,Georgetown,MY,2021-08-04 15:20:50,5.4112,100.3354,83.89,83,20,2.3
129,Narrabri,AU,2021-08-04 15:20:50,-30.3167,149.7833,43.79,88,61,5.97
130,Luanda,AO,2021-08-04 15:20:50,-8.8368,13.2343,77.0,73,20,12.66
131,Xining,CN,2021-08-04 15:20:51,36.6167,101.7667,59.49,66,81,6.08
132,Cap Malheureux,MU,2021-08-04 15:20:51,-19.9842,57.6142,70.29,75,19,5.99
133,Omama,JP,2021-08-04 15:20:52,36.4333,139.2833,81.84,78,11,2.51
134,Thinadhoo,MV,2021-08-04 15:20:52,0.5333,72.9333,82.56,75,100,6.4
135,Sao Jose Da Coroa Grande,BR,2021-08-04 15:20:52,-8.8978,-35.1478,75.49,84,90,11.14
136,King City,US,2021-08-04 15:20:53,36.2127,-121.126,56.28,33,0,4.59
137,Otradnoye,RU,2021-08-04 15:20:53,59.7775,30.8181,66.56,47,86,6.08
138,Barka Kana,IN,2021-08-04 15:20:53,23.6167,85.4833,80.44,86,100,4.59
139,Victoria,HK,2021-08-04 15:20:15,22.2855,114.1577,82.45,95,100,1.99
140,Hukuntsi,BW,2021-08-04 15:20:54,-24.0,21.75,77.38,16,0,5.86
141,Baoning,CN,2021-08-04 15:20:54,25.3378,110.026,80.46,89,20,2.24
142,Sitka,US,2021-08-04 15:20:55,57.0531,-135.33,62.49,77,90,8.05
143,Butaritari,KI,2021-08-04 15:20:55,3.0707,172.7902,82.58,66,95,11.97
144,Banjar,ID,2021-08-04 15:20:56,-8.19,114.9675,80.46,92,59,5.17
145,Gedo,ET,2021-08-04 15:16:15,9.0167,37.45,57.63,90,99,1.01
146,Zhangjiakou,CN,2021-08-04 15:20:56,40.81,114.8794,74.46,46,67,2.93
147,Lompoc,US,2021-08-04 15:20:57,34.6391,-120.4579,59.85,87,90,0.0
148,Shadrinsk,RU,2021-08-04 15:20:57,56.0852,63.6335,73.42,74,24,8.63
149,Tepalcatepec,MX,2021-08-04 15:20:57,19.1833,-102.85,76.17,87,90,1.88
150,Tiznit,MA,2021-08-04 15:20:58,29.5833,-9.5,82.15,43,0,10.47
151,Coquimbo,CL,2021-08-04 15:20:58,-29.9533,-71.3436,58.73,72,20,5.75
152,Mar Del Plata,AR,2021-08-04 15:20:59,-38.0023,-57.5575,59.88,61,0,7.0
153,Hamilton,US,2021-08-04 15:20:59,39.1834,-84.5333,78.75,57,40,4.0
154,Bowen,AU,2021-08-04 15:20:59,-20.0167,148.2333,61.18,71,7,8.37
155,Severo-Kurilsk,RU,2021-08-04 15:21:00,50.6789,156.125,51.06,77,100,13.76
156,Havoysund,NO,2021-08-04 15:21:00,70.9963,24.6622,50.88,85,100,17.74
157,Xinxiang,CN,2021-08-04 15:18:01,35.3089,113.8672,80.2,80,16,0.89
158,Vanavara,RU,2021-08-04 15:21:01,60.34,102.2797,64.65,60,91,4.47
159,Laguna,US,2021-08-04 15:19:33,38.421,-121.4238,81.45,72,1,4.0
160,Muzhi,RU,2021-08-04 15:21:01,65.3667,64.6667,70.9,62,99,11.27
161,Mareeba,AU,2021-08-04 15:21:02,-17.0,145.4333,61.52,89,15,2.51
162,Siauliai,LT,2021-08-04 15:21:02,55.9333,23.3167,60.82,77,90,13.8
163,Xunchang,CN,2021-08-04 15:21:03,28.4543,104.715,81.52,76,18,0.83
164,Misratah,LY,2021-08-04 15:21:03,32.3754,15.0925,93.83,45,0,12.84
165,Mankato,US,2021-08-04 15:18:50,44.1636,-93.9994,77.41,68,1,3.44
166,Talcahuano,CL,2021-08-04 15:21:03,-36.7167,-73.1167,49.68,100,90,9.22
167,Socoltenango,MX,2021-08-04 15:21:04,16.2167,-92.25,68.14,77,100,2.93
168,Natal,BR,2021-08-04 15:21:04,-5.795,-35.2094,86.65,62,75,14.97
169,Roma,US,2021-08-04 15:21:05,43.2128,-75.4557,76.84,66,100,1.68
170,Ribeira Grande,PT,2021-08-04 15:21:05,38.5167,-28.7,79.2,73,20,16.11
171,Luziania,BR,2021-08-04 15:16:15,-16.2525,-47.9503,81.99,27,65,8.05
172,Yumen,CN,2021-08-04 15:21:07,40.2833,97.2,79.54,11,0,10.0
173,Coruripe,BR,2021-08-04 15:21:07,-10.1256,-36.1756,77.99,67,29,14.5
174,Srandakan,ID,2021-08-04 15:21:08,-7.9386,110.2506,76.59,89,28,10.49
175,Chipata,ZM,2021-08-04 15:21:08,-13.6333,32.65,73.56,22,2,4.41
176,Tiksi,RU,2021-08-04 15:21:08,71.6872,128.8694,40.5,88,2,8.39
177,Nizhniy Odes,RU,2021-08-04 15:21:09,63.6445,54.856,70.14,66,32,3.51
178,Kaili,ID,2021-08-04 15:21:09,-3.4626,120.2147,66.22,79,100,3.04
179,Lavrentiya,RU,2021-08-04 15:21:09,65.5833,-171.0,51.39,80,100,12.86
180,Vestmanna,FO,2021-08-04 15:21:10,62.1564,-7.1664,56.32,88,90,5.75
181,Airai,TL,2021-08-04 15:21:10,-8.9266,125.4092,56.59,89,66,3.69
182,Olgina,EE,2021-08-04 15:21:10,59.3953,28.1253,63.25,52,66,5.79
183,Mae Hong Son,TH,2021-08-04 15:21:11,19.3003,97.9685,73.08,99,92,1.68
184,Annaberg-Buchholz,DE,2021-08-04 15:21:11,50.5795,13.0063,66.52,93,86,3.85
185,Eureka,US,2021-08-04 15:19:48,40.8021,-124.1637,52.41,77,51,1.23
186,Onguday,RU,2021-08-04 15:21:12,50.75,86.15,58.24,91,100,2.48
187,San Carlos,VE,2021-08-04 15:21:12,9.6612,-68.5827,76.78,87,89,5.01
188,Anadyr,RU,2021-08-04 15:21:13,64.75,177.4833,45.1,100,90,2.24
189,Hastings,GB,2021-08-04 15:21:13,50.8552,0.5729,74.34,65,36,4.14
190,Hofn,IS,2021-08-04 15:21:13,64.2539,-15.2082,53.62,94,90,6.91
191,Bonfim,BR,2021-08-04 15:21:14,3.0833,-59.95,80.94,73,92,7.61
192,Dingle,PH,2021-08-04 15:21:14,10.9995,122.6711,78.89,88,77,8.95
193,Skeldon,GY,2021-08-04 15:21:15,5.8833,-57.1333,86.72,59,0,2.57
194,Mpulungu,ZM,2021-08-04 15:21:15,-8.7623,31.1141,80.71,44,37,4.88
195,Tarakan,ID,2021-08-04 15:21:15,3.3,117.6333,82.36,78,88,6.78
196,Guerrero Negro,MX,2021-08-04 15:21:16,27.9769,-114.0611,73.62,71,4,5.99
197,Oistins,BB,2021-08-04 15:21:17,13.0667,-59.5333,86.09,70,40,17.27
198,Norman Wells,CA,2021-08-04 15:21:17,65.282,-126.8329,51.84,76,75,6.91
199,Bolton,GB,2021-08-04 15:21:18,53.5833,-2.4333,73.99,56,56,4.34
200,Plastun,RU,2021-08-04 15:21:18,44.7561,136.2939,69.4,96,100,3.65
